1	1	200.000	0.000	0.000
1	2	190.000	2.280	0.000
1	3	180.000	4.160	0.000
1	4	160.000	7.500	0.000
1	5	140.000	10.360	0.000
1	6	120.000	12.720	0.000
1	7	100.000	14.480	0.000
1	8	80.000	15.600	0.000
1	9	60.000	15.760	0.000
1	10	50.000	15.340	0.000
1	11	40.000	14.520	0.000
1	12	30.000	13.220	0.000
1	13	20.000	11.260	0.000
1	14	15.000	9.920	0.000
1	15	10.000	8.260	0.000
1	16	5.000	5.980	0.000
1	17	2.500	4.300	0.000
1	18	0.000	0.000	0.000
1	19	2.500	-3.300	0.000
1	20	5.000	-4.540	0.000
1	21	10.000	-6.020	0.000
1	22	15.000	-6.920	0.000
1	23	20.000	-7.500	0.000
1	24	30.000	-8.200	0.000
1	25	40.000	-8.460	0.000
1	26	50.000	-8.440	0.000
1	27	60.000	-8.240	0.000
1	28	80.000	-7.600	0.000
1	29	100.000	-6.680	0.000
1	30	120.000	-5.520	0.000
1	31	140.000	-4.280	0.000
1	32	160.000	-3.000	0.000
1	33	180.000	-1.640	0.000
1	34	190.000	-0.960	0.000
1	35	200.000	-0.000	0.000
